iter	Logloss
0	0.6922949294
1	0.6910655485
2	0.6900759204
3	0.6889185796
4	0.6870905258
5	0.6856651705
6	0.6842848563
7	0.6831318802
8	0.6817496251
9	0.6803308545
10	0.6790991081
11	0.6778006656
12	0.6767742114
13	0.675732647
14	0.6748403948
15	0.6737019265
16	0.6727340919
17	0.6716076893
18	0.6701746854
19	0.6692801618
20	0.6684851527
21	0.6675481841
22	0.6665847738
23	0.6657018421
24	0.6643915275
25	0.6633688952
26	0.662427989
27	0.6614954777
28	0.6603309023
29	0.6594400196
30	0.6587554226
31	0.6579906102
32	0.6570478629
33	0.6561122162
34	0.6553961363
35	0.6540553709
36	0.6532146974
37	0.6523614117
38	0.6514510447
39	0.6506023971
40	0.6497960951
41	0.6491737478
42	0.6484847528
43	0.6475374393
44	0.6465767412
45	0.6458867774
46	0.6452132317
47	0.6441845987
48	0.6436191473
49	0.6430458377
50	0.6424709296
51	0.6414521923
52	0.640819051
53	0.6402570361
54	0.6396949993
55	0.6390562439
56	0.6382518821
57	0.6375925361
58	0.6371918036
59	0.6366454995
60	0.6359604989
61	0.6354171773
62	0.6347378838
63	0.6342264967
64	0.633589705
65	0.632914728
66	0.6324589136
67	0.6319065736
68	0.6314469669
69	0.6308057602
70	0.630384399
71	0.6299319764
72	0.6293058864
73	0.6286113787
74	0.6279251555
75	0.6274551205
76	0.6271534983
77	0.6264769675
78	0.6258283251
79	0.6252893543
80	0.6248411465
81	0.6242214659
82	0.6236893621
83	0.623059422
84	0.62238149
85	0.6218699664
86	0.6213836072
87	0.6208480195
88	0.6204356797
89	0.6201439888
90	0.6196048253
91	0.6191634493
92	0.6187093073
93	0.6183439974
94	0.6179864192
95	0.6174791715
96	0.6169672034
97	0.6165120293
98	0.6160811881
99	0.6157956672
100	0.6153006673
101	0.6150366476
102	0.6147344259
103	0.6143466422
104	0.6139874588
105	0.6134766427
106	0.6131597487
107	0.6126533894
108	0.6124895043
109	0.6118562271
110	0.6114742567
111	0.6111968798
112	0.6108165175
113	0.6103662799
114	0.6098069319
115	0.6095127156
116	0.6091016712
117	0.6087598332
118	0.6083049312
119	0.6080871916
120	0.607656842
121	0.6072944671
122	0.6070513915
123	0.6066837812
124	0.6064242866
125	0.605919181
126	0.6056091648
127	0.6053784627
128	0.605028299
129	0.6046025754
130	0.6042104102
131	0.6038830902
132	0.6035495826
133	0.6032413572
