iter	Logloss
134	0.6028242241
135	0.6025935494
136	0.6023891747
137	0.6020735092
138	0.6016289285
139	0.6011786132
140	0.6009436856
141	0.6005273806
142	0.6002228457
143	0.5999292619
144	0.5995720596
145	0.5993780324
146	0.5990530966
147	0.5987866982
148	0.5984688036
149	0.5979259106
150	0.5975779621
151	0.597223527
152	0.5967793574
153	0.5963569395
154	0.5960080029
155	0.595849217
156	0.5955764801
157	0.5952007124
158	0.5949344214
159	0.5946507561
160	0.5942427302
161	0.594031645
162	0.5935982886
163	0.593274189
164	0.5929940612
165	0.5927640056
166	0.5923271542
167	0.592210872
168	0.5919283933
169	0.5916228455
170	0.5913534885
171	0.5910860217
172	0.5908504202
173	0.5907719011
174	0.5905728867
175	0.590197591
176	0.5898789689
177	0.5895851267
178	0.589352028
179	0.5891026714
180	0.5888155789
181	0.5887900751
182	0.588223414
183	0.5880258981
184	0.5876878666
185	0.587384205
186	0.5870218396
187	0.5868001086
188	0.5865033462
189	0.5861475568
190	0.5856591931
191	0.5854438213
192	0.5852007445
193	0.5849274363
194	0.5847668446
195	0.5845041643
196	0.5842445735
197	0.5839891676
198	0.583712826
199	0.5833249288
200	0.5832119292
201	0.5828661005
202	0.5826867517
203	0.5824612402
204	0.5822698076
205	0.58202798
206	0.5818731288
207	0.5813947418
208	0.5813033786
209	0.5809953058
210	0.5807225901
211	0.5804641759
212	0.5802889705
213	0.5801511233
214	0.5799592207
215	0.5795922111
216	0.5793315526
217	0.5791383467
218	0.5790130595
219	0.5786227846
220	0.5783409718
221	0.5782285927
222	0.5780677117
223	0.5779128044
224	0.5777017168
225	0.5773581709
226	0.5771143221
227	0.577057316
228	0.5768949288
229	0.5766927887
230	0.5764960216
231	0.5762229297
232	0.5758179213
233	0.5757203413
234	0.5754393334
235	0.5753605418
236	0.5751325184
237	0.5749475866
238	0.5747296594
239	0.5746238371
240	0.5742634983
241	0.5741703548
242	0.5739441964
243	0.5738474532
244	0.5736250574
245	0.5735603367
246	0.5734259415
247	0.5732826091
248	0.5730629062
249	0.5728994445
250	0.572841741
251	0.5727358226
252	0.5724328918
253	0.5722147036
254	0.5720092028
255	0.5716811447
256	0.5714121387
257	0.5712267972
258	0.5710513881
259	0.5708484288
260	0.5704817995
261	0.5702290434
262	0.5700007045
263	0.5696236052
264	0.5694996101
265	0.5692444636
266	0.5691736724
267	0.5690872802
268	0.5689168389
269	0.568780763
270	0.5685843117
271	0.5682739589
272	0.5680795974
273	0.5679930192
274	0.5677080906
275	0.5673879073
276	0.5672579993
277	0.5670648586
278	0.5668078171
279	0.5666504047
280	0.566283912
281	0.5660048855
282	0.5659402782
283	0.5657623871
284	0.5655151006
285	0.5652908134
286	0.5652386389
287	0.5647742273
288	0.5645519741
289	0.5644256553
290	0.5642834431
291	0.5640855304
292	0.5638075926
293	0.5637201018
294	0.5636966027
295	0.5634981968
296	0.5633350295
297	0.56323264
298	0.5630650623
299	0.562848651
300	0.5625697408
301	0.562481067
302	0.5623200626
303	0.5621346191
304	0.5620219684
305	0.561930073
306	0.5618358342
307	0.5615439635
308	0.5613069356
309	0.5611915375
310	0.5610038951
311	0.5608909434
312	0.5607696806
313	0.5605176127
314	0.56003938
315	0.5598280241
316	0.5596225669
317	0.5594878486
318	0.5593437519
319	0.5591694657
320	0.5591684574
321	0.5589084635
322	0.5588022977
323	0.5587218549
324	0.558645676
325	0.558553864
326	0.558489287
327	0.5583346834
328	0.5582442851
329	0.5580942176
330	0.5580780635
331	0.557973677
332	0.5577549254
333	0.5575967972
334	0.5575739018
335	0.5574099557
336	0.5571991738
337	0.5570337008
338	0.5569258291
339	0.5567044267
340	0.5564297838
341	0.5561676077
342	0.5560935852
343	0.5558380314
344	0.55573032
345	0.5556564809
346	0.5553797974
347	0.5552163882
348	0.5550652232
349	0.5548405094
350	0.5547715103
351	0.5546225472
352	0.554475668
353	0.5543986657
354	0.5541153707
355	0.5540258034
356	0.553834527
357	0.5536844756
358	0.553515245
359	0.5533356036
360	0.5532963981
361	0.5530686375
362	0.5527383049
363	0.5525607362
364	0.5523683112
365	0.5521538855
366	0.552052947
367	0.55188829
368	0.5518353101
369	0.5515352057
370	0.5513562687
371	0.5512700379
372	0.551096177
373	0.5510149897
374	0.5508590185
375	0.5507462595
376	0.5506704757
377	0.5505566845
378	0.5504160024
379	0.550266149
380	0.5501567464
381	0.5501436684
382	0.5500518296
383	0.549907905
384	0.5497562581
385	0.5496456526
386	0.5495930286
387	0.5495015849
388	0.549292476
389	0.5490039002
390	0.5487486904
391	0.5486028402
392	0.5483676685
393	0.5482738234
394	0.5481001906
395	0.5479545604
396	0.5476266922
397	0.5475685088
398	0.5473739997
399	0.5472309686
400	0.5469120202
401	0.54671526
402	0.5467103327
403	0.5466819687
404	0.5464911333
405	0.5462633064
406	0.5460544481
407	0.5459455144
408	0.5457821
409	0.5457180465
410	0.5456155871
411	0.5454756288
412	0.5454540395
413	0.5450918287
414	0.5449528085
415	0.5448108506
416	0.5446241309
417	0.5444941986
418	0.5442677387
419	0.5441481702
420	0.544042974
421	0.5439582061
422	0.5438387807
423	0.5435851392
424	0.5433767453
425	0.543264729
426	0.543103702
427	0.5430165947
428	0.5429453507
429	0.5427356312
430	0.5426798029
431	0.542560927
432	0.542443516
433	0.5423110367
434	0.5420088491
435	0.5419362671
436	0.5416317188
437	0.5415599827
438	0.5414486024
439	0.541299533
440	0.5411358702
441	0.5410086407
442	0.5409013639
443	0.5407309996
444	0.5406281148
445	0.5405129243
446	0.5403701096
447	0.5401893274
448	0.5400765929
449	0.5399771739
450	0.5397379295
451	0.5395023907
452	0.5393535295
453	0.5389526876
454	0.5388992665
455	0.5387017744
456	0.5386432378
457	0.5385341052
458	0.5383940971
459	0.5381852509
460	0.5379700338
461	0.5378231533
462	0.5376573897
463	0.537476304
464	0.5374425594
465	0.5372860068
466	0.5371210371
467	0.5369909443
468	0.5367687278
469	0.5366504555
470	0.5366079517
471	0.5364483048
472	0.5361716806
473	0.5360296023
474	0.5358954958
475	0.5356118417
476	0.5355192022
477	0.5354171887
478	0.5353333591
479	0.5352628155
480	0.5352174886
481	0.5351473161
482	0.5350971692
483	0.5349572219
484	0.5347667867
485	0.5346173296
486	0.5343953299
487	0.5340556341
488	0.5339068382
489	0.5338219193
490	0.5337646559
491	0.5335147777
492	0.5334115315
493	0.5332699206
494	0.5331335513
495	0.5328602724
496	0.5327814139
497	0.5327373672
498	0.5325974033
499	0.5324855526
